type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
river,Ilanga,Sokoto,Urban,402,15,
well,Rural,Kilimani,Rural,252,0,Contaminated: Biological
shared_tap,Rural,Hawassa,Rural,542,62,
well,Lusaka,Akatsi,Urban,210,0,Contaminated: Biological
shared_tap,Rural,Akatsi,Rural,2598,28,
river,Rural,Kilimani,Rural,862,9,
tap_in_home_broken,Rural,Akatsi,Rural,496,0,
tap_in_home,Rural,Kilimani,Rural,562,0,
well,Zanzibar,Hawassa,Urban,308,0,Contaminated: Chemical
tap_in_home,Dahabu,Amanzi,Urban,556,0,
well,Rural,Hawassa,Rural,296,0,Clean
shared_tap,Rural,Kilimani,Rural,562,17,
shared_tap,Rural,Sokoto,Rural,3746,240,
tap_in_home,Kintampo,Akatsi,Urban,404,0,
tap_in_home,Dahabu,Amanzi,Urban,376,0,
well,Rural,Sokoto,Rural,308,0,Contaminated: Biological
tap_in_home,Rural,Hawassa,Rural,682,0,
well,Harare,Akatsi,Urban,390,0,Contaminated: Chemical
tap_in_home,Serowe,Hawassa,Urban,548,0,
well,Serowe,Hawassa,Urban,300,0,Clean
river,Harare,Kilimani,Urban,450,20,
shared_tap,Rural,Kilimani,Rural,2050,171,
well,Yaounde,Hawassa,Urban,334,0,Contaminated: Chemical
tap_in_home,Serowe,Hawassa,Urban,322,0,
tap_in_home,Rural,Amanzi,Rural,392,0,
well,Rural,Sokoto,Rural,394,0,Contaminated: Biological
well,Lusaka,Akatsi,Urban,350,0,Contaminated: Chemical
tap_in_home,Harare,Kilimani,Urban,600,0,
tap_in_home_broken,Lusaka,Akatsi,Urban,644,0,
well,Rural,Akatsi,Rural,234,0,Contaminated: Chemical
tap_in_home_broken,Kintampo,Akatsi,Urban,334,0,
well,Rural,Akatsi,Rural,208,0,Contaminated: Chemical
shared_tap,Rural,Hawassa,Rural,2668,28,
tap_in_home,Abidjan,Amanzi,Urban,830,0,
well,Rural,Akatsi,Rural,308,0,Clean
well,Rural,Sokoto,Rural,220,0,Contaminated: Biological
well,Mrembo,Kilimani,Urban,350,0,Contaminated: Biological
shared_tap,Rural,Hawassa,Rural,270,16,
shared_tap,Rural,Kilimani,Rural,462,56,
river,Mrembo,Kilimani,Urban,764,11,
river,Rural,Sokoto,Rural,788,24,
tap_in_home,Dahabu,Amanzi,Urban,660,0,
tap_in_home,Rural,Sokoto,Rural,486,0,
well,Rural,Kilimani,Rural,304,0,Contaminated: Chemical
tap_in_home,Mrembo,Kilimani,Urban,504,0,
well,Rural,Sokoto,Rural,300,0,Contaminated: Chemical
tap_in_home,Cheche,Sokoto,Urban,730,0,
shared_tap,Rural,Kilimani,Rural,2602,211,
tap_in_home,Dahabu,Amanzi,Urban,740,0,
tap_in_home,Isiqalo,Kilimani,Urban,690,0,
tap_in_home,Dahabu,Amanzi,Urban,640,0,
well,Harare,Akatsi,Urban,238,0,Clean
shared_tap,Rural,Akatsi,Rural,288,16,
well,Harare,Akatsi,Urban,252,0,Contaminated: Chemical
tap_in_home,Rural,Hawassa,Rural,832,0,
tap_in_home,Rural,Amanzi,Rural,362,0,
tap_in_home_broken,Serowe,Hawassa,Urban,940,0,
well,Rural,Sokoto,Rural,162,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,264,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,790,0,
tap_in_home,Rural,Amanzi,Rural,382,0,
tap_in_home_broken,Lusaka,Akatsi,Urban,988,0,
well,Rural,Sokoto,Rural,358,0,Contaminated: Chemical
well,Djenne,Hawassa,Urban,216,0,Contaminated: Biological
tap_in_home,Rural,Amanzi,Rural,678,0,
tap_in_home_broken,Rural,Amanzi,Rural,706,0,
tap_in_home_broken,Zuri,Kilimani,Urban,650,0,
shared_tap,Pwani,Amanzi,Urban,1822,24,
well,Rural,Hawassa,Rural,224,0,Contaminated: Biological
tap_in_home,Deka,Hawassa,Urban,578,0,
shared_tap,Rural,Hawassa,Rural,2880,29,
well,Rural,Akatsi,Rural,202,0,Clean
well,Serowe,Hawassa,Urban,374,0,Clean
well,Rural,Akatsi,Rural,332,0,Contaminated: Chemical
well,Amara,Kilimani,Urban,204,0,Contaminated: Chemical
tap_in_home,Lusaka,Akatsi,Urban,470,0,
tap_in_home,Rural,Amanzi,Rural,762,0,
shared_tap,Rural,Sokoto,Rural,496,59,
well,Lusaka,Akatsi,Urban,340,0,Contaminated: Biological
tap_in_home_broken,Rural,Amanzi,Rural,704,0,
well,Deka,Hawassa,Urban,306,0,Contaminated: Biological
well,Rural,Sokoto,Rural,396,0,Contaminated: Chemical
well,Amina,Amanzi,Urban,362,0,Clean
tap_in_home_broken,Rural,Hawassa,Rural,726,0,
tap_in_home_broken,Rural,Akatsi,Rural,664,0,
shared_tap,Mrembo,Kilimani,Urban,1380,123,
tap_in_home_broken,Rural,Akatsi,Rural,808,0,
well,Cheche,Sokoto,Urban,288,0,Contaminated: Chemical
tap_in_home_broken,Ilanga,Sokoto,Urban,768,0,
river,Kofi,Sokoto,Urban,754,14,
well,Rural,Hawassa,Rural,178,0,Contaminated: Biological
tap_in_home,Asmara,Amanzi,Urban,776,0,
tap_in_home_broken,Lusaka,Akatsi,Urban,880,0,
well,Amina,Hawassa,Urban,332,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,228,0,Contaminated: Chemical
well,Harare,Kilimani,Urban,260,0,Clean
river,Rural,Sokoto,Rural,536,9,
well,Rural,Kilimani,Rural,368,0,Contaminated: Biological
tap_in_home,Yaounde,Hawassa,Urban,846,0,
tap_in_home,Bahari,Sokoto,Urban,752,0,
well,Dahabu,Amanzi,Urban,256,0,Clean
tap_in_home_broken,Rural,Akatsi,Rural,318,0,
tap_in_home_broken,Rural,Sokoto,Rural,328,0,
tap_in_home_broken,Rural,Sokoto,Rural,676,0,
river,Rural,Akatsi,Rural,622,10,
tap_in_home,Rural,Kilimani,Rural,818,0,
well,Djenne,Hawassa,Urban,218,0,Contaminated: Chemical
river,Serowe,Hawassa,Urban,906,14,
tap_in_home_broken,Amina,Amanzi,Urban,806,0,
tap_in_home_broken,Pwani,Amanzi,Urban,690,0,
tap_in_home_broken,Rural,Amanzi,Rural,452,0,
well,Rural,Kilimani,Rural,340,0,Clean
well,Rural,Hawassa,Rural,282,0,Contaminated: Biological
tap_in_home_broken,Rural,Amanzi,Rural,946,0,
well,Marang,Sokoto,Urban,216,0,Clean
well,Rural,Akatsi,Rural,166,0,Clean
well,Amara,Kilimani,Urban,260,0,Contaminated: Biological
well,Rural,Akatsi,Rural,212,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,1286,21,
tap_in_home_broken,Rural,Sokoto,Rural,958,0,
tap_in_home,Rural,Akatsi,Rural,516,0,
well,Rural,Akatsi,Rural,276,0,Contaminated: Biological
tap_in_home,Harare,Kilimani,Urban,618,0,
tap_in_home_broken,Rural,Amanzi,Rural,990,0,
well,Bello,Amanzi,Urban,382,0,Clean
shared_tap,Rural,Hawassa,Rural,1402,22,
shared_tap,Bello,Amanzi,Urban,944,19,
tap_in_home,Rural,Sokoto,Rural,980,0,
tap_in_home,Rural,Akatsi,Rural,528,0,
river,Rural,Sokoto,Rural,838,14,
tap_in_home_broken,Amina,Amanzi,Urban,778,0,
shared_tap,Zuri,Kilimani,Urban,3360,240,
tap_in_home,Zuri,Kilimani,Urban,386,0,
well,Rural,Kilimani,Rural,370,0,Contaminated: Chemical
tap_in_home,Rural,Amanzi,Rural,756,0,
well,Rural,Kilimani,Rural,168,0,Clean
tap_in_home,Harare,Akatsi,Urban,584,0,
tap_in_home_broken,Isiqalo,Kilimani,Urban,796,0,
shared_tap,Amina,Hawassa,Urban,270,42,
tap_in_home,Harare,Akatsi,Urban,446,0,
tap_in_home_broken,Serowe,Hawassa,Urban,746,0,
tap_in_home,Isiqalo,Kilimani,Urban,916,0,
well,Rural,Amanzi,Rural,322,0,Contaminated: Chemical
river,Bahari,Sokoto,Urban,452,10,
well,Rural,Kilimani,Rural,212,0,Contaminated: Biological
shared_tap,Rural,Akatsi,Rural,1442,127,
